,date,title,links,description
43,21.07.11,죽전 신세계백화점서도 확진…유통매장 비상,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006387772"",""링크"")",서울 강남구 현대백화점 집단 감염으로 대형 유통매장 방역에 비상이 걸렸죠. 그런데 경기도 용인 신세계백화점에서도 판매사원 1명이 확진 판정을 받…
44,21.07.10,[단독] 지하철역서 여성 몰래 찍은 영상 제작자 검거,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006387119"",""링크"")",지하철역에서 여성의 신체를 몰래 촬영한 영상 제작자가 경찰에 붙잡혔습니다. 서울 영등포경찰서는 그제 저녁 7시 40분쯤 서울 지하철 7호선 신풍…
45,21.07.09,[단독] 초등생에 '거친 욕설'…징계 받고도 계속 지도,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006386545"",""링크"")","한 리틀야구단 감독이 어린 선수들에게 폭력을 일삼아 징계를 받고도, 아이들을 계속 지도하는 황당한 일이 벌어지고 있습니다. 이상한 징계 규정 적…"
46,21.07.09,"[단독] '손찌검' 벨기에 대사 부인, 오늘 한국 떠났다","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006386539"",""링크"")","옷가게에서, 공원에서 두 차례 폭행 시비에 휘말렸던 벨기에 대사 부인이 오늘 대사와 함께 본국으로 되돌아간 것으로 확인됐습니다. 박찬범 기자의 …"
47,21.07.09,[단독] '단무지 사오라' 심부름 시켜놓고…살해 혐의 송치,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006386532"",""링크"")","지적장애를 지닌 30대 동생을 숨지게 한 혐의를 받는 친형이 검찰로 넘겨졌습니다. 형은 여전히 범행을 부인하고 있는데, 동생이 실종됐다던 그 시…"
48,21.07.09,"[단독] 맞아서 치아 부러졌는데…감독은 ""넘어져서""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006386526"",""링크"")",수구 국가대표팀의 훈련 기간 숙소에서 선수들의 음주 폭력 사건이 벌어졌습니다. 치아가 부러진 선수도 있는데 감독은 사건을 은폐하고 축소하려 한 …
49,21.07.09,[단독] 수구 국가대표 '음주 폭행'…감독은 '은폐 · 축소' 시도,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006386500"",""링크"")","그런데 감독은 이를 은폐하고, 또 축소하려 한 정황이 SBS 취재 결과 드러났습니다. A선수는 B선수의 폭행으로 치아 2개가 부러졌다고 주장했고…"
50,21.07.09,"[단독] ""범행 전 심부름 시켰나""…지적장애 동생 마지막 모습","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006386469"",""링크"")","지적장애를 지닌 동생을 살해하고 허위 실종신고를 한 친형이 오늘 구속 송치된 가운데, SBS가 범행이 있던 날 동생의 마지막 행적이 담긴 영상을…"
51,21.07.09,"[단독] 벨기에 대사 부부, 오늘 한국 떠났다","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006386475"",""링크"")",국내 체류 중 두 차례 폭행 사건에 휘말렸던 벨기에 대사 부인이 대사와 함께 본국으로 되돌아갔습니다. SBS 취재 결과 피터 레스쿠이에 벨기에 …
52,21.07.09,"[단독] ""가둬놓고 대출 강요""…모텔에 친구 감금 20대 2명 체포","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006386392"",""링크"")",돈을 갚으라며 친구를 강제로 모텔에 가두고 대출을 받도록 협박한 20대 남성 2명이 경찰에 체포됐습니다. 경기 부천원미경찰서는 감금 및 공갈 혐…
53,21.07.08,[단독] 폭우에 방치된 모래채취선 침몰…기름 '둥둥',"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006385236"",""링크"")",폭우로 물살이 거세진 낙동강에서는 모래 채취선이 침몰해 기름이 흘러나왔습니다. 환경오염에 어민들 피해도 걱정인데 이 배가 오래전부터 방치돼있었다…
54,21.07.08,"[단독] ""나도 모르게 내 차 위치 노출""…구멍 뚫린 카카오T","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006385227"",""링크"")","다양한 교통 관련 서비스를 제공하는 카카오T는 가입자 수가 2,600만 명에 달하는 플랫폼입니다. 이 앱으로 주차 서비스도 많이 이용하는데 저희…"
55,21.07.08,"[단독] 카카오T, 타인차량 위치정보 노출…범죄 우려","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006385184"",""링크"")",국내 최대 모빌리티 플랫폼 카카오T의 주차 서비스를 통해 다른 사람의 차량 위치 정보가 노출되고 있는 것으로 SBS 취재 결과 확인됐습니다. 카…
56,21.07.08,[단독] '묻지마 폭행'…라이터로 70대 여성 머리 내리찍은 50대 남성 검거,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006385037"",""링크"")",길 가던 70대 여성을 뒤따라가 아무 이유 없이 머리를 내리찍어 다치게 한 남성이 경찰에 붙잡혔습니다. 서울 송파경찰서는 어제 특수상해 혐의로 …
57,21.07.08,"[단독] ""복면으로 얼굴 가려""…주차된 차량 훔쳐간 남성","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006384709"",""링크"")","야심한 새벽, 한 남성이 복면으로 얼굴을 가린 채 총기처럼 보이는 물체를 들고 주차장을 돌아다닙니다. 주차된 차량을 유심히 보던 이 남성은 총기…"
58,21.07.07,"[단독] 2t 스크루에 화물 기사 사망…열 달 지나도 ""네 탓""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006383696"",""링크"")",지난해 충남 태안 화력발전소에서 60대 화물차 노동자가 숨진 일이 있었습니다. 화물차에서 떨어진 2톤짜리 중장비에 목숨을 잃은 겁니다. 그런데 …
59,21.07.07,"[단독] 동생 시신서 수면제…""4년 전 부모 죽음도 의문점""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006383705"",""링크"")",지적 장애가 있는 동생이 실종됐다면서 경찰에 신고했던 친형이 긴급 체포됐다는 소식 지난주 단독 보도해 드렸습니다. 형의 행적에서 의심스러운 정황…
60,21.07.07,"[단독] 동생 시신서 수면제…""4년 전 부모 죽음도 의혹""","=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006383738"",""링크"")",30대 지적장애 남성 사망 사건과 관련해 이 남성을 실종 신고한 친형을 체포해 수사를 벌이고 있는 경찰이 형의 살해 혐의를 입증하는 중요 증거들…
61,21.07.07,[단독] 지난해 태안화력 화물차 기사 사고 CCTV 입수,"=HYPERLINK(""https://news.sbs.co.kr/news/endPage.do?news_id=N1006383541"",""링크"")",지난해 9월 태안화력발전소에서 60대 화물차 기사가 차에서 떨어진 중장비에 깔려 목숨을 잃은 사고 장면이 담긴 CCTV 영상을 SBS가 입수했습…
